"区域编码","区域","页码","课程ID","课程名称","教学点","培训机构","课程教材"
"130000","河北省","1","5572a5cf727e4dcdb2a5cf727e3dcdf0","日语培训","河北省石家庄市新华区中华北大街210号高柱大厦728、729","石家庄市新华区词韵培训学校有限公司","新编日语教程1"
"130000","河北省","1","ca3e9138A4H2qFU9S4Pg0F26x3GF00et","高中日语","春辉教育（先天下校区）","石家庄市长安区东风春辉文化艺术培训学校","标准日本语"
"130000","河北省","1","C76d625M9T3ZhX59k07plt5H03c80902","日语体验班","河北省石家庄市新华区中华北大街210号高柱大厦728、729","石家庄市新华区词韵培训学校有限公司","人教版日语七年级"
"130000","河北省","1","d06221353nl37d670Zv3BbU9xi5K9nY7","日语周末班","春辉教育（先天下校区）","石家庄市长安区东风春辉文化艺术培训学校","--"
"130000","河北省","1","P450YiEN0269yLu1j575gv4g16P5ai6F","高中日语","春辉教育（先天下校区）","石家庄市长安区东风春辉文化艺术培训学校","--"
"130000","河北省","1","Jo94x1f14074vk8hE915q114ZGox0b2a","人教日语","河北省石家庄市新华区中华北大街210号高柱大厦728、729","石家庄市新华区词韵培训学校有限公司","--"
"130000","河北省","1","rQ96BYL6P9589221h3a266abbBDWJ38F","文化课全托班","石家庄市长安区知行文化艺术培训学校","石家庄市长安区知行文化培训学校","新版中日交流标准日本语 第二版"
"130000","河北省","1","Y2E31s6H5R08Rz951X930Q9q01sv6c76","日语","春辉教育（先天下校区）","石家庄市长安区东风春辉文化艺术培训学校","--"
"140000","山西省","1","5cac146bba9d4911ac146bba9db91182","日语初级","长治市潞州区慧师启航培训学校有限责任公司","长治市潞州区慧师启航培训学校有限责任公司","--"
"140000","山西省","1","heWs2555ur5ns1R9zu3391j6x8p47X70","日语","晋中市榆次区育才培训学校","晋中市榆次区育才培训学校","--"
"140000","山西省","1","bb8bb06191064cfc8bb06191066cfcd3","日语","晋中市榆次区育才培训学校","晋中市榆次区育才培训学校","标准日本语中级"
"210000","辽宁省","1","70af90e613394ddaaf90e61339bdda78","日语","沈阳市浑南区浦江教育培训中心","沈阳市浑南区浦江教育培训中心","--"
"210000","辽宁省","1","26da0fc27954b845e80c4ad8f895a28b","日语1班","沈阳市浑南区浦江教育培训中心","沈阳市浑南区浦江教育培训中心","中日交流标准日本语"
"210000","辽宁省","1","7be97c3bf4756c242b8b542d0d578aa8","高中日语","沈阳市浑南区浦江教育培训中心","沈阳市浑南区浦江教育培训中心","--"
"220000","吉林省","1","A4979CMT69R56UeQ36P84wD318O8PYf6","高三日语初级（下）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","标准日本语初级（下）"
"220000","吉林省","1","Dw4u40Pdy0mvXeTekw02Gwa4bPc1Ndl9","高三日语初级（上）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","标准日本语初级（上）"
"220000","吉林省","1","bHc26zK18c4Z0VRP74234k6U07966938","高三日语初级（下）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","1","A56760WYRo385OD30sD28xv408U81a98","高三日语初级（下）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","1","F7v52BNo3w0383zo90QJEvR9Ai751n4d","高二日语初级（上）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","1","fW804A41Qev1y2w171t1FbtG0lY9E45E","高二日语初级（上）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","1","hRXoXHvz47NBp9cT84c6363m867JF1h0","高二日语初级（上）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","1","H14q0w5RO8909jw7NW64TY52S6J8hFT7","高二日语初级（上）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","1","h2O4oh8Kjd6rBA86Gi0J440T32rCrSJX","高三日语初级（下）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","1","LHH819rP6deZnb95Lq41Wa8U2vKupt2j","高三日语初级（下）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","2","p40Qe1a39bY59497457h7507k20Y1vbM","高二日语初级（上）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","2","o066gNUy3500mL1RE4kutNU5dR0au9kH","高二日语初级（上）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","2","j58d55o65H74R0ZCh1x94063W4b5c3dx","高三日语初级（下）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","标准日本语初级（下）"
"220000","吉林省","2","iN1FvO276T7hs6iY3pt9B75454A513R9","高二日语初级（上）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","标准日本语初级（上）"
"220000","吉林省","2","K92I5i6D9174BnXKwrm9W17Vjb6I7183","高三日语初级（下）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","2","jo0j29nSeqgDIn172qk7by3Ek1j094UW","高二日语初级（上）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","2","uJlwAvg48947P3386Rg3vJRni713u407","高三日语初级（下）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","2","U341c7Fy1ccS8X1p26IEMN50BR5y6DG8","高三日语初级（下）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","2","rKbO4Wye6Sc48WG732m8qG75BA395Z8s","高二日语初级（上）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","2","PO9pImT6Xr08xS48V31l0601a0utu370","高三日语初级（上）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","3","pPY4123P2CqWSx01U0ed26919mP03757","高二日语初级（上）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","3","f9R0648zjC9xfNNlsja5329u42Lp7Xh5","高二日语初级（上）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","标准日本语初级（上）"
"220000","吉林省","3","nA8A0qx87AL9hjH6tey897dwyXirHE3q","高三日语初级（下）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","3","n51ym52os70H8004ceO084L1jM46F702","高三日语初级（上）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","3","n8a108lbsnq5ZT235w5Mdnl61IZ51d47","高三日语初级（下）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","3","w7I2O2yClqSj0x81Y942Kp6gDSo741J3","高三日语初级（下）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","3","u1GYNS883tjBS1088V04U86YIbQ8c80I","高二日语初级（上）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","3","yE9678X7fCTbjD892pn42O2957l7D3P8","高二日语初级（上）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","3","a2ie895jhRu848HJ71M626jFf5DS85vm","高三日语初级（下）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","标准日本语初级（下）"
"220000","吉林省","3","X94K5moFV0497q7570c6qk6k9P9cq73z","高二日语初级（上）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","4","W100PC142g30B5DjCaZurC57lUY20K0V","高二日语初级","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","4","Wi8y8tC1M3IgM32H4RO61kLRr0EHy69U","高三日语初级（下）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","4","gSP7au68u1dR8e05m8ZnF98z4B3qL66D","高三日语初级（下）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","4","Jav5ea1Zty49Og663r4Xi9a555u8l896","高二日语初级（上）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","4","BGO45e4074KMk0se44va22lP684192x1","高二日语初级（上）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","标准日本语初级（上）"
"220000","吉林省","4","aht97rN1ujJ8W1J1504Esa9A6Y37OB7L","高三日语初级（下）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","标准日本语初级（下）"
"220000","吉林省","4","z9tQ90S64pC1T3Dg6wM4p1a8tK152A63","高二日语初级（上）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","4","XE5H19r3n9Z3q4C6t461f2BB911qt62H","高三日语初级（下）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","4","w2EhJh3HXYW543WJNs77QGXw9H6q1P7R","高三日语初级（下）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"220000","吉林省","4","nl86p1544I022E77wRQ4t4C3N896Qgpc","高三日语初级（下）","长春市朝阳区起点培训学校","长春市朝阳区起点培训学校","--"
"310000","上海市","1","31000000_8e50e9b6-c374-4394-90b0-8f037d5c07ad","日语","上海徐汇区巧易思进修学校","上海徐汇区巧易思进修学校","标准日本语"
"310000","上海市","1","buy3Z0xa765xm78I4gvUg2XE0f8Co332","高中日语","上海博世凯进修学院","上海博世凯进修学院","--"
"310000","上海市","1","BO452tyBO8P4ed639kL5K3JdJ747pn3m","高中日语2","上海博世凯进修学院","上海博世凯进修学院","日语必修第一册"
"310000","上海市","1","H4HCC6S92096J88dRy78RY585a6IDO37","日语初级","上海徐汇区巧易思进修学校","上海徐汇区巧易思进修学校","--"
"310000","上海市","1","C919Mu1oo3w59xG7uLZ8W426V5o3vOms","高中日语1","上海博世凯进修学院","上海博世凯进修学院","--"
"310000","上海市","1","OH5wSNzcs4g85Gm1S1125KVIH4G1E030","高中日语","上海博世凯进修学院","上海博世凯进修学院","--"
"310000","上海市","1","obz2h2GQ9oyKg9O67R7849KdO12l921K","高中日语1","上海博世凯进修学院","上海博世凯进修学院","日语必修第二册"
"310000","上海市","1","f7753K6vf23T8Wxz587M2P753AI696me","日语一班","上海浦东新区常青进修学校","上海浦东新区常青进修学校","日语"
"310000","上海市","1","T793F607D7WxoiTl91A20o33Q5FYq77g","高中日语1","上海博世凯进修学院","上海博世凯进修学院","--"
"310000","上海市","1","V457A855910v0m10423q5F923a98V806","高中日语1","上海博世凯进修学院","上海博世凯进修学院","--"
"310000","上海市","2","w09ca4H84P5UI1207VJWbLzp84tb275Q","日语1班","上海浦东新区常青进修学校","上海浦东新区常青进修学校","日语"
"310000","上海市","2","wxK2baTx666SAwkHso53Fr83kn71Cx70","日语","上海浦东新区常青进修学校","上海浦东新区常青进修学校","--"
"310000","上海市","2","xNi0758qRD880371Q07vVMf45aI6Z2r1","日语","上海浦东新区常青进修学校","上海浦东新区常青进修学校","--"
