"页码","课程名称","教学点信息","课程教材"
"1","高中日语课程","长沙市岳麓区黑马智慧教育培训学校有限公司 长沙市岳麓区黑马智慧教育培训学校有限公司","高中日语必修(第三册)"
"1","高考日语","泰安市泰山区天诺教育培训学校 泰安市泰山区天诺教育培训学校","标准日本语初级上下册"
"1","高一日语","长沙县远山教育培训学校 长沙县远山教育培训学校","日语七年级全一册"
"1","日语","沈阳市浑南区浦江教育培训中心 沈阳市浑南区浦江教育培训中心","中日交流标准日本语"
"1","高三日语1对1","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","新编日语教程"
"1","高考日语","漳州市芗城区立兴博翰培训学校 漳州市芗城区立兴博翰培训学校","标准日本语"
"1","日语班（高一）","怀化市鹤城区经纬培训学校有限公司 怀化市鹤城区经纬培训学校有限公司","标准日本语初级(下)"
"1","高一日语课程","长沙县远山教育培训学校 长沙县远山教育培训学校","--"
"1","高考日语","长沙高新开发区东洋外语培训学校有限公司 长沙高新开发区东洋外语培训学校有限公司","--"
"1","高中日语培训","烟台市芝罘区富士外语培训学校 烟台市芝罘区富士外语培训学校","日语七年级全一册"
"2","高二日语班","丰城市学者课外培训中心 丰城市学者课外培训中心","日语必修第一册"
"2","日语面授小班课","长沙市岳麓区一鸿启航培训学校 长沙市岳麓区一鸿启航教育培训学校有限公司","人教版日语教材"
"2","2023年暑假日语班","长沙市天心区文都培训学校有限公司 长沙市天心区文都培训学校有限公司","新编日语教程"
"2","高一日语","赣州市赣县区弘艺教育培训中心 赣州市赣县区弘艺教育培训中心","标准日本语"
"2","日语一班2023","泰安高新区尚本文化教育培训学校 泰安高新区尚本文化教育培训学校","普通高中教科书 日语选择性必修第一册"
"2","高中进阶日语1班","河源市源城区新创星教育培训中心 河源市源城区新创星教育培训中心","标准日本语"
"2","高中日语进阶班","河源市源城区新创星教育培训中心 河源市源城区新创星教育培训中心","--"
"2","高中日语2","上海博世凯进修学院 上海博世凯进修学院","日语必修第一册"
"2","高中日语","上海博世凯进修学院 上海博世凯进修学院","--"
